Result ID,Stock Symbol,Analysis Date,Total Score,SMA Score,MACD Score,RSI Score,Volume Score,High Score,Current Price,Price Change %,Recommendation,Alerts,SMA 10,SMA 50,SMA 200,RSI Value,MACD Line,Signal Line,Volume Ratio,52W High,Created At
1,AAPL,2025-01-20,75,20,15,18,12,10,185.50,2.35,STRONG BUY,"[""GOLDEN_CROSS""]",182.30,178.45,165.20,68.5,2.45,1.80,1.85,190.00,2025-01-20
2,MSFT,2025-01-20,82,25,18,20,12,7,420.75,3.12,STRONG BUY,"[""GOLDEN_CROSS"",""VOLUME_SURGE_3X""]",415.20,405.80,385.50,72.3,5.60,3.20,3.25,425.00,2025-01-20
3,GOOGL,2025-01-20,68,18,16,15,10,9,142.30,1.85,BUY,[],140.50,138.20,130.75,64.2,1.85,1.40,1.45,145.00,2025-01-20
4,NVDA,2025-01-20,88,25,20,18,15,10,875.40,5.67,STRONG BUY,"[""GOLDEN_CROSS"",""VOLUME_SURGE_3X"",""NEW_52W_HIGH""]",850.20,820.50,650.30,75.8,12.50,8.30,4.20,875.40,2025-01-20
5,META,2025-01-20,62,15,14,16,10,7,485.20,2.10,BUY,[],480.30,472.50,420.80,66.5,3.20,2.50,1.65,495.00,2025-01-20
6,TSLA,2025-01-20,45,10,8,12,8,7,242.80,-0.85,WATCH,[],245.60,250.30,220.40,52.3,0.80,1.20,1.20,265.00,2025-01-20
7,AMD,2025-01-20,71,20,16,15,12,8,165.90,3.45,STRONG BUY,"[""GOLDEN_CROSS""]",162.40,158.20,145.80,69.2,2.10,1.50,2.10,172.00,2025-01-20
8,JNJ,2025-01-20,38,8,6,10,8,6,162.50,0.45,WATCH,[],163.20,164.50,158.30,48.5,-0.30,0.20,0.95,168.00,2025-01-20
9,PG,2025-01-20,42,10,8,12,6,6,155.30,0.75,WATCH,[],154.80,153.40,148.20,54.2,0.50,0.30,1.05,160.00,2025-01-20
10,KO,2025-01-20,35,8,6,8,7,6,61.20,0.35,WATCH,[],61.50,62.10,58.40,46.8,-0.20,0.10,1.15,64.00,2025-01-20
11,PLTR,2025-01-20,78,22,18,16,12,10,28.45,4.20,STRONG BUY,"[""VOLUME_SURGE_3X""]",27.20,25.80,20.50,71.5,0.85,0.50,3.50,28.45,2025-01-20
12,COIN,2025-01-20,65,18,14,14,10,9,215.80,2.95,BUY,[],212.30,205.40,180.20,65.8,3.40,2.60,1.85,225.00,2025-01-20
13,RBLX,2025-01-20,58,15,12,13,10,8,48.90,1.65,BUY,[],47.80,46.20,40.50,62.3,0.95,0.70,1.70,52.00,2025-01-20
14,SNOW,2025-01-20,52,12,10,12,10,8,185.60,1.40,BUY,[],183.40,178.90,165.30,60.5,2.10,1.80,1.55,195.00,2025-01-20
15,AMZN,2025-01-20,73,20,16,17,11,9,178.50,2.80,STRONG BUY,"[""GOLDEN_CROSS""]",175.20,170.80,155.40,70.2,2.80,1.90,1.95,185.00,2025-01-20
